Course Name,Course Code,Prerequisite
Machine Learning in,ECE564A,ECE240
Object Oriented,CSE600/ECE600/ECE600A,None
Programming for,BIO551A,None
Critical Thinking and,SSH101,None
Object Oriented,ECE600A,None
Introduction to Philosophy,SSH121,None
Applied Fields and Waves,ECE331/ECE531,ECE230
Critical Thinking,SSH124,None
Topics on Multivariate,MTH578A,"MTH201 , MTH100 (/viewDescription/ﬁlename?= MTH100)"
Research Methods in,SSH201,SSH101
Neural Engineering and,ECE366/ECE566,ECE215
Theatre Appreciation,SSH211,None
Diﬀerential Geometry,MTH563,"MTH100 , MTH240  or MTH203"
Introduction To The Study,SSH214,None
On the making of,SOC504/SOC701,OneSOCcourse(F ((F) or UGandM.Techstudents) (/viewDescription/ﬁlename?
Nation and her Narratives,SSH215,None
Reproducing Kernel Hilbert,MTH550,"MTH100 , MTH240( ( or equivalent)"
Introduction to Indian,SSH216,None
An Introduction to,MTH551,"MTH100(LinearAlgebra) ((LinearAlgebra)), MTH240(RealAnalysis-I)"
Indian Poetry Through the,SSH217,None
Graduate Computer,CSE637,None
Social and Political,SSH221,None
Large Language Models,CSE665,"NLP(CSE556) ((CSE556)), DeepLearning(ECE553) (/viewDescription/ﬁlename?"
Theory and Practice of,SSH222,None
Design Thinking and,ENT302,None
Perspectives of Knowledge,SSH223,None
3D Creation for Extended,DES532A,None
"Computer, Information",SSH224,None
Physics of Semiconductor,ECE210,None
Interaction Design,DES533,None
Tangible User Interfaces,DES531,"PIS(DES206) ((DES206)), DPP(DES201) ((DES201))"
Democracy in India:,SSH261,None
Electronic System Design,ECE211,"BE(ECE113) ((ECE113)), BasicProgramming (/viewDescription/ﬁlename?"
Theories of Ethics,SSH300,None
Urban Space and Gender,SOC719A,SOC308(GenderandMedia) ((GenderandMedia))
Advanced Writing,SSH311,None
Systems for AI,CSE634A,CSE-231 (-231)
Applied Ethics,SSH321,None
Parameterized Algorithms,CSE619,CSE222(ADA) ((ADA)) or CSE525(GraduateAlg (/viewDescription/ﬁlename?
New Media and Politics,SSH323,None
Advanced Digital Design,ECE527,VLSIDesignFlow(ECE313/ECE513) ((ECE313)
Philosophy of Mind,SSH324,SSH121
VLSI Design Flow,ECE513/ECE313,"DigitalCircuits , BasicsofCMOSInverter (/viewDescription/ﬁlename?"
Experiential Learning,ENT303A,None
Political Anthropology:,SOC216,None
State and Subject:,SOC702,1SOCclass
"Governing AI: History,",SSH341/SSH541,None
Comparative Politics in,SSH361,None
Intelligent Product Design,ECE323/EVE323/ECE526,None
Urban Space and Political,SSH362/SSH562,None
Philosophy of Technology,SSH3PT,None
Data and Society,SSH711,None
Extended Reality in,DES534,None
Politics in Digital Era,SSH240,None
Algorithmic techniques for,CSE634,CSE102DataStructures&Alg (&Alg) or ithms
Logic and Artiﬁcial,MTH501,"DiscreteMathematics(CSE121) ((CSE121)), DiscreteStructures(MTH210)"
Probabilistic Methods in,MTH523/CSE623,"DiscreteStructures/DiscreteMathematics , ADA/GraduateAlg"
Introduction to,CSE624A,"CSE121 , CSE322 , CSE102"
Advanced Solid-state,ECE613,ECE210andequivalentf  or PG
Ubiquitous Computing,DES535,None
Advanced Topics in Partial,MTH548,None
Several Complex Variables,MTH547,"Realanalysis , Complexanalysis ,"
Digital Technologies and,ENT304,None
"Social Innovation,",ENT305,None
Decision Making for Multi-,CSE667,CSE102DataStructures&Alg (&Alg) or ithms
Explainable AI,CSE615,"CSE101IntrotoProgramming , CSE102DataStructures&Alg"
"Image, Screen, Interface",SOC309/509,1SSHClassat2xx
Advanced Readings in,SSH721,None
Graduate Systems (GS),CSE638,None
